model,image_size,mparams,image_mparams,text_mparams,gflops,namespace,model_simple,model_simple_namespace
ViT-S-32-alt,224,43.22,22.59,20.63,3.45,clip,ViT-S-32-alt,ViT-S-32-alt_clip
ViT-S-32,224,63.09,22.64,40.44,5.51,clip,ViT-S-32,ViT-S-32_clip
ViT-S-16-alt,224,42.4,21.76,20.63,9.69,clip,ViT-S-16-alt,ViT-S-16-alt_clip
ViT-M-32,224,103.12,39.69,63.43,9.74,clip,ViT-M-32,ViT-M-32_clip
ViT-S-16,224,62.26,21.81,40.44,11.75,clip,ViT-S-16,ViT-S-16_clip
ViT-S-14,224,62.21,21.77,40.44,14.3,clip,ViT-S-14,ViT-S-14_clip
ViT-B-32,224,151.28,87.85,63.43,14.54,clip,ViT-B-32,ViT-B-32_clip
ViT-M-16,224,102.02,38.59,63.43,20.84,clip,ViT-M-16,ViT-M-16_clip
ViT-M-14,224,101.95,38.53,63.43,25.37,clip,ViT-M-14,ViT-M-14_clip
ViT-B-16,224,149.62,86.19,63.43,39.51,clip,ViT-B-16,ViT-B-16_clip
ViT-L-32,224,429.95,306.3,123.65,43.59,clip,ViT-L-32,ViT-L-32_clip
ViT-B-16-text-plus,224,210.04,86.39,123.65,46.78,clip,ViT-B-16-text-plus,ViT-B-16-text-plus_clip
ViT-B-14,224,149.53,86.1,63.43,49.7,clip,ViT-B-14,ViT-B-14_clip
ViT-H-32,224,989.02,634.99,354.03,109.81,clip,ViT-H-32,ViT-H-32_clip
ViT-L-16,224,427.74,304.09,123.65,132.37,clip,ViT-L-16,ViT-L-16_clip
ViT-L-14,224,427.62,303.97,123.65,168.61,clip,ViT-L-14,ViT-L-14_clip
ViT-H-16,224,986.26,632.23,354.03,294.78,clip,ViT-H-16,ViT-H-16_clip
ViT-H-14,224,986.11,632.08,354.03,370.28,clip,ViT-H-14,ViT-H-14_clip
ViT-M-16-alt,224,78.98,38.53,40.44,18.3,clip,ViT-M-16-alt,ViT-M-16-alt_clip
ViT-M-32-alt,224,80.07,39.63,40.44,7.2,clip,ViT-M-32-alt,ViT-M-32-alt_clip
mammut_ViT-S-32,224,85.62,22.64,62.83,13.91,mammut,ViT-S-32,ViT-S-32_mammut
mammut_ViT-S-16,224,84.79,21.81,62.83,20.72,mammut,ViT-S-16,ViT-S-16_mammut
mammut_ViT-M-32,224,134.73,39.69,94.78,22.1,mammut,ViT-M-32,ViT-M-32_mammut
mammut_ViT-S-14,224,84.74,21.77,62.83,23.5,mammut,ViT-S-14,ViT-S-14_mammut
mammut_ViT-B-32,224,183.02,87.85,94.78,26.91,mammut,ViT-B-32,ViT-B-32_mammut
mammut_ViT-M-16,224,133.63,38.59,94.78,34.2,mammut,ViT-M-16,ViT-M-16_mammut
mammut_ViT-M-14,224,133.57,38.53,94.78,39.14,mammut,ViT-M-14,ViT-M-14_mammut
mammut_ViT-B-14,224,181.27,86.1,94.78,63.54,mammut,ViT-B-14,ViT-B-14_mammut
mammut_ViT-L-32,224,510.63,306.3,203.54,74.28,mammut,ViT-L-32,ViT-L-32_mammut
mammut_ViT-B-16,224,290.52,86.39,203.54,79.7,mammut,ViT-B-16,ViT-B-16_mammut
mammut_ViT-L-16,224,508.42,304.09,203.54,165.37,mammut,ViT-L-16,ViT-L-16_mammut
mammut_ViT-H-32,224,1191.06,634.99,554.76,192.97,mammut,ViT-H-32,ViT-H-32_mammut
mammut_ViT-L-14,224,508.29,303.97,203.54,202.56,mammut,ViT-L-14,ViT-L-14_mammut
mammut_ViT-H-16,224,1188.3,632.23,554.76,385.72,mammut,ViT-H-16,ViT-H-16_mammut
mammut_ViT-H-14,224,1188.14,632.08,554.76,464.39,mammut,ViT-H-14,ViT-H-14_mammut
coca_ViT-S-32,224,125.35,23.33,40.44,19.45,coca,ViT-S-32,ViT-S-32_coca
coca_ViT-S-16,224,124.52,22.5,40.44,25.78,coca,ViT-S-16,ViT-S-16_coca
coca_ViT-S-14,224,124.47,22.46,40.44,28.36,coca,ViT-S-14,ViT-S-14_coca
coca_ViT-M-32,224,205.27,40.88,63.43,33.26,coca,ViT-M-32,ViT-M-32_coca
coca_ViT-B-32,224,253.56,89.16,63.43,38.08,coca,ViT-B-32,ViT-B-32_coca
coca_ViT-M-16,224,204.17,39.77,63.43,44.51,coca,ViT-M-16,ViT-M-16_coca
coca_ViT-M-14,224,204.11,39.71,63.43,49.11,coca,ViT-M-14,ViT-M-14_coca
coca_ViT-B-14,224,251.81,87.42,63.43,73.57,coca,ViT-B-14,ViT-B-14_coca
coca_ViT-L-32,224,640.78,309.06,123.65,93.7,coca,ViT-L-32,ViT-L-32_coca
coca_ViT-B-16,224,420.68,88.95,123.65,97.2,coca,ViT-B-16,ViT-B-16_coca
coca_ViT-L-16,224,638.57,306.85,123.65,182.95,coca,ViT-L-16,ViT-L-16_coca
coca_ViT-L-14,224,638.45,306.72,123.65,219.38,coca,ViT-L-14,ViT-L-14_coca
coca_ViT-H-32,224,1649.02,639.72,354.03,273.96,coca,ViT-H-32,ViT-H-32_coca
coca_ViT-H-16,224,1646.25,636.96,354.03,459.7,coca,ViT-H-16,ViT-H-16_coca
coca_ViT-H-14,224,1646.1,636.8,354.03,535.51,coca,ViT-H-14,ViT-H-14_coca
ViT-S-32-SigLIP,224,63.09,22.64,40.44,5.51,siglip,ViT-S-32,ViT-S-32_siglip
ViT-M-32-SigLIP,224,103.12,39.69,63.43,9.74,siglip,ViT-M-32,ViT-M-32_siglip
ViT-S-16-SigLIP,224,62.26,21.81,40.44,11.75,siglip,ViT-S-16,ViT-S-16_siglip
ViT-B-32-SigLIP,224,151.28,87.85,63.43,14.54,siglip,ViT-B-32,ViT-B-32_siglip
ViT-B-16-text-plus-SigLIP,224,210.04,86.39,123.65,46.78,siglip,ViT-B-16-text-plus,ViT-B-16-text-plus_siglip
ViT-L-14-SigLIP,224,427.62,303.97,123.65,168.61,siglip,ViT-L-14,ViT-L-14_siglip
